,opticslabel
0,-1
1,55
2,-1
3,-1
4,-1
5,-1
6,64
7,-1
8,-1
9,25
10,37
11,49
12,-1
13,30
14,-1
15,-1
16,0
17,37
18,-1
19,6
20,-1
21,-1
22,52
23,27
24,-1
25,64
26,-1
27,37
28,68
29,-1
30,-1
31,1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,86
40,58
41,-1
42,-1
43,-1
44,-1
45,76
46,4
47,37
48,4
49,86
50,43
51,46
52,83
53,-1
54,24
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,77
63,-1
64,58
65,25
66,-1
67,-1
68,-1
69,-1
70,95
71,-1
72,61
73,-1
74,-1
75,-1
76,39
77,-1
78,105
79,37
80,77
81,68
82,75
83,-1
84,-1
85,37
86,-1
87,-1
88,-1
89,-1
90,-1
91,81
92,-1
93,11
94,-1
95,-1
96,40
97,52
98,-1
99,-1
100,-1
101,-1
102,90
103,92
104,-1
105,14
106,-1
107,-1
108,-1
109,-1
110,-1
111,16
112,83
113,3
114,8
115,-1
116,27
117,-1
118,89
119,107
120,92
121,-1
122,-1
123,-1
124,-1
125,87
126,101
127,-1
128,-1
129,-1
130,4
131,-1
132,15
133,-1
134,-1
135,-1
136,8
137,-1
138,-1
139,-1
140,-1
141,52
142,86
143,58
144,20
145,99
146,-1
147,-1
148,48
149,37
150,85
151,-1
152,36
153,-1
154,-1
155,-1
156,62
157,-1
158,-1
159,-1
160,64
161,-1
162,-1
163,47
164,-1
165,-1
166,96
167,-1
168,-1
169,102
170,-1
171,-1
172,-1
173,37
174,-1
175,-1
176,-1
177,49
178,-1
179,8
180,-1
181,-1
182,4
183,48
184,-1
185,86
186,-1
187,-1
188,33
189,74
190,-1
191,49
192,18
193,-1
194,-1
195,-1
196,-1
197,56
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,-1
208,-1
209,-1
210,-1
211,40
212,-1
213,-1
214,-1
215,5
216,-1
217,-1
218,-1
219,95
220,-1
221,102
222,-1
223,-1
224,105
225,-1
226,-1
227,-1
228,-1
229,-1
230,9
231,-1
232,7
233,-1
234,-1
235,52
236,43
237,64
238,-1
239,-1
240,76
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,69
248,-1
249,37
250,-1
251,37
252,-1
253,-1
254,-1
255,-1
256,-1
257,76
258,-1
259,-1
260,-1
261,60
262,-1
263,90
264,-1
265,-1
266,-1
267,-1
268,-1
269,-1
270,95
271,-1
272,20
273,-1
274,32
275,-1
276,57
277,-1
278,72
279,-1
280,-1
281,37
282,77
283,44
284,-1
285,-1
286,-1
287,38
288,35
289,64
290,41
291,-1
292,-1
293,16
294,-1
295,46
296,64
297,-1
298,57
299,34
300,-1
301,-1
302,-1
303,25
304,83
305,-1
306,84
307,20
308,-1
309,-1
310,-1
311,-1
312,-1
313,-1
314,-1
315,-1
316,4
317,-1
318,-1
319,-1
320,-1
321,-1
322,-1
323,-1
324,-1
325,-1
326,63
327,78
328,56
329,-1
330,8
331,33
332,33
333,-1
334,25
335,-1
336,18
337,-1
338,36
339,-1
340,-1
341,-1
342,-1
343,76
344,11
345,73
346,-1
347,-1
348,-1
349,-1
350,-1
351,-1
352,-1
353,-1
354,-1
355,-1
356,-1
357,-1
358,-1
359,62
360,71
361,14
362,-1
363,37
364,-1
365,38
366,37
367,-1
368,-1
369,-1
370,-1
371,-1
372,-1
373,-1
374,-1
375,-1
376,-1
377,-1
378,-1
379,-1
380,-1
381,-1
382,62
383,-1
384,-1
385,35
386,-1
387,8
388,-1
389,-1
390,-1
391,25
392,-1
393,-1
394,-1
395,-1
396,51
397,-1
398,-1
399,-1
400,107
401,-1
402,18
403,104
404,101
405,-1
406,105
407,76
408,-1
409,-1
410,25
411,-1
412,-1
413,34
414,-1
415,92
416,-1
417,-1
418,107
419,-1
420,87
421,46
422,65
423,-1
424,34
425,72
426,37
427,107
428,-1
429,66
430,37
431,-1
432,107
433,80
434,-1
435,73
436,35
437,-1
438,107
439,-1
440,57
441,54
442,61
443,61
444,-1
445,-1
446,-1
447,-1
448,54
449,-1
450,-1
451,-1
452,69
453,-1
454,105
455,-1
456,-1
457,99
458,-1
459,37
460,52
461,-1
462,-1
463,-1
464,-1
465,-1
466,-1
467,-1
468,-1
469,25
470,-1
471,-1
472,-1
473,-1
474,61
475,73
476,-1
477,92
478,-1
479,72
480,-1
481,-1
482,77
483,85
484,37
485,29
486,59
487,-1
488,37
489,-1
490,36
491,20
492,33
493,-1
494,25
495,58
496,56
497,-1
498,-1
499,-1
500,-1
501,30
502,80
503,-1
504,38
505,-1
506,-1
507,-1
508,82
509,89
510,-1
511,37
512,-1
513,-1
514,-1
515,-1
516,-1
517,69
518,-1
519,-1
520,-1
521,54
522,20
523,54
524,-1
525,-1
526,-1
527,-1
528,-1
529,66
530,-1
531,-1
532,-1
533,-1
534,-1
535,-1
536,72
537,95
538,69
539,87
540,86
541,-1
542,76
543,-1
544,-1
545,37
546,37
547,32
548,-1
549,-1
550,105
551,-1
552,-1
553,-1
554,-1
555,-1
556,-1
557,64
558,-1
559,-1
560,-1
561,45
562,-1
563,-1
564,-1
565,-1
566,24
567,-1
568,-1
569,-1
570,56
571,-1
572,105
573,-1
574,-1
575,27
576,4
577,-1
578,61
579,-1
580,-1
581,-1
582,-1
583,-1
584,53
585,-1
586,44
587,-1
588,-1
589,-1
590,-1
591,-1
592,-1
593,53
594,30
595,-1
596,-1
597,-1
598,-1
599,-1
600,-1
601,-1
602,-1
603,80
604,-1
605,-1
606,-1
607,-1
608,-1
609,105
610,-1
611,-1
612,64
613,-1
614,-1
615,-1
616,-1
617,92
618,64
619,-1
620,-1
621,-1
622,-1
623,32
624,-1
625,-1
626,-1
627,87
628,-1
629,-1
630,-1
631,32
632,-1
633,-1
634,33
635,-1
636,-1
637,-1
638,86
639,14
640,-1
641,-1
642,40
643,86
644,37
645,-1
646,-1
647,-1
648,-1
649,-1
650,-1
651,22
652,86
653,-1
654,99
655,101
656,-1
657,-1
658,-1
659,-1
660,-1
661,-1
662,45
663,-1
664,-1
665,-1
666,101
667,-1
668,-1
669,107
670,98
671,76
672,-1
673,-1
674,37
675,-1
676,-1
677,-1
678,-1
679,-1
680,-1
681,-1
682,-1
683,105
684,77
685,-1
686,-1
687,-1
688,-1
689,-1
690,-1
691,-1
692,82
693,89
694,76
695,-1
696,-1
697,102
698,-1
699,-1
700,-1
701,3
702,-1
703,-1
704,-1
705,-1
706,-1
707,-1
708,-1
709,37
710,85
711,107
712,40
713,24
714,-1
715,-1
716,-1
717,-1
718,6
719,-1
720,-1
721,-1
722,-1
723,-1
724,-1
725,-1
726,90
727,107
728,-1
729,-1
730,45
731,-1
732,-1
733,-1
734,37
735,-1
736,8
737,20
738,89
739,43
740,11
741,-1
742,95
743,7
744,-1
745,35
746,-1
747,-1
748,-1
749,37
750,-1
751,82
752,-1
753,-1
754,85
755,-1
756,-1
757,-1
758,50
759,38
760,-1
761,-1
762,-1
763,-1
764,-1
765,-1
766,-1
767,72
768,-1
769,-1
770,-1
771,49
772,-1
773,16
774,89
775,32
776,-1
777,-1
778,-1
779,-1
780,-1
781,-1
782,-1
783,-1
784,-1
785,-1
786,44
787,-1
788,-1
789,-1
790,-1
791,-1
792,49
793,-1
794,76
795,-1
796,37
797,-1
798,-1
799,-1
800,102
801,-1
802,-1
803,-1
804,-1
805,56
806,-1
807,-1
808,4
809,77
810,-1
811,-1
812,-1
813,95
814,-1
815,-1
816,98
817,-1
818,-1
819,-1
820,-1
821,-1
822,-1
823,37
824,-1
825,-1
826,-1
827,-1
828,-1
829,-1
830,-1
831,-1
832,56
833,-1
834,15
835,-1
836,57
837,103
838,-1
839,-1
840,-1
841,-1
842,-1
843,-1
844,-1
845,-1
846,83
847,-1
848,-1
849,-1
850,82
851,-1
852,31
853,-1
854,-1
855,-1
856,29
857,-1
858,35
859,-1
860,-1
861,-1
862,-1
863,100
864,-1
865,-1
866,-1
867,-1
868,-1
869,-1
870,73
871,-1
872,-1
873,-1
874,-1
875,-1
876,29
877,49
878,-1
879,101
880,-1
881,-1
882,16
883,85
884,-1
885,-1
886,-1
887,19
888,-1
889,-1
890,78
891,-1
892,-1
893,-1
894,-1
895,-1
896,25
897,-1
898,-1
899,79
900,-1
901,58
902,24
903,78
904,66
905,-1
906,-1
907,33
908,-1
909,-1
910,75
911,-1
912,-1
913,-1
914,-1
915,-1
916,92
917,31
918,-1
919,38
920,-1
921,-1
922,-1
923,14
924,-1
925,3
926,-1
927,107
928,58
929,-1
930,-1
931,-1
932,-1
933,-1
934,-1
935,-1
936,-1
937,90
938,-1
939,-1
940,-1
941,-1
942,-1
943,-1
944,37
945,-1
946,-1
947,-1
948,20
949,-1
950,64
951,-1
952,-1
953,64
954,-1
955,-1
956,-1
957,-1
958,-1
959,1
960,-1
961,-1
962,-1
963,11
964,102
965,40
966,-1
967,-1
968,-1
969,37
970,-1
971,59
972,37
973,-1
974,-1
975,66
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,-1
983,20
984,-1
985,-1
986,-1
987,4
988,-1
989,-1
990,-1
991,53
992,43
993,-1
994,-1
995,33
996,-1
997,89
998,-1
999,31
1000,-1
1001,57
1002,-1
1003,-1
1004,-1
1005,94
1006,-1
1007,64
1008,-1
1009,-1
1010,-1
1011,-1
1012,-1
1013,-1
1014,58
1015,72
1016,-1
1017,38
1018,-1
1019,64
1020,-1
1021,-1
1022,-1
1023,-1
1024,-1
1025,-1
1026,-1
1027,-1
1028,-1
1029,36
1030,37
1031,-1
1032,35
1033,101
1034,32
1035,36
1036,30
1037,72
1038,9
1039,-1
1040,-1
1041,-1
1042,37
1043,-1
1044,-1
1045,-1
1046,1
1047,-1
1048,-1
1049,37
1050,36
1051,-1
1052,53
1053,-1
1054,-1
1055,-1
1056,-1
1057,-1
1058,-1
1059,-1
1060,77
1061,2
1062,-1
1063,87
1064,-1
1065,43
1066,-1
1067,3
1068,7
1069,-1
1070,-1
1071,-1
1072,39
1073,81
1074,-1
1075,-1
1076,-1
1077,-1
1078,89
1079,37
1080,-1
1081,-1
1082,-1
1083,-1
1084,-1
1085,72
1086,-1
1087,-1
1088,-1
1089,20
1090,-1
1091,-1
1092,105
1093,-1
1094,51
1095,-1
1096,-1
1097,-1
1098,-1
1099,-1
1100,-1
1101,3
1102,37
1103,-1
1104,-1
1105,-1
1106,-1
1107,107
1108,-1
1109,-1
1110,-1
1111,14
1112,-1
1113,3
1114,-1
1115,-1
1116,-1
1117,33
1118,-1
1119,32
1120,-1
1121,-1
1122,33
1123,-1
1124,76
1125,-1
1126,-1
1127,-1
1128,-1
1129,-1
1130,39
1131,-1
1132,-1
1133,-1
1134,-1
1135,100
1136,-1
1137,-1
1138,61
1139,-1
1140,-1
1141,-1
1142,-1
1143,-1
1144,-1
1145,79
1146,-1
1147,-1
1148,83
1149,43
1150,80
1151,-1
1152,-1
1153,-1
1154,-1
1155,-1
1156,-1
1157,-1
1158,-1
1159,75
1160,-1
1161,-1
1162,57
1163,37
1164,-1
1165,-1
1166,-1
1167,-1
1168,59
1169,-1
1170,-1
1171,-1
1172,8
1173,-1
1174,-1
1175,-1
1176,-1
1177,-1
1178,-1
1179,60
1180,1
1181,-1
1182,86
1183,-1
1184,61
1185,-1
1186,30
1187,-1
1188,-1
1189,-1
1190,-1
1191,85
1192,52
1193,50
1194,81
1195,-1
1196,-1
1197,-1
1198,48
1199,16
1200,-1
1201,-1
1202,20
1203,-1
1204,87
1205,89
1206,-1
1207,-1
1208,-1
1209,-1
1210,-1
1211,-1
1212,-1
1213,-1
1214,64
1215,103
1216,77
1217,-1
1218,-1
1219,73
1220,-1
1221,-1
1222,-1
1223,-1
1224,52
1225,-1
1226,-1
1227,-1
1228,35
1229,66
1230,-1
1231,-1
1232,-1
1233,19
1234,8
1235,-1
1236,-1
1237,-1
1238,5
1239,-1
1240,-1
1241,45
1242,-1
1243,-1
1244,-1
1245,-1
1246,-1
1247,-1
1248,-1
1249,55
1250,-1
1251,-1
1252,-1
1253,-1
1254,72
1255,-1
1256,-1
1257,-1
1258,-1
1259,104
1260,40
1261,-1
1262,-1
1263,56
1264,-1
1265,54
1266,-1
1267,-1
1268,-1
1269,-1
1270,32
1271,-1
1272,-1
1273,66
1274,-1
1275,20
1276,-1
1277,37
1278,-1
1279,50
1280,-1
1281,-1
1282,-1
1283,-1
1284,85
1285,-1
1286,29
1287,-1
1288,104
1289,-1
1290,-1
1291,-1
1292,77
1293,-1
1294,-1
1295,54
1296,-1
1297,-1
1298,-1
1299,-1
1300,35
1301,-1
1302,29
1303,-1
1304,-1
1305,-1
1306,-1
1307,-1
1308,-1
1309,-1
1310,-1
1311,89
1312,8
1313,-1
1314,2
1315,-1
1316,-1
1317,-1
1318,-1
1319,-1
1320,82
1321,20
1322,-1
1323,29
1324,14
1325,-1
1326,-1
1327,-1
1328,-1
1329,-1
1330,-1
1331,-1
1332,-1
1333,-1
1334,-1
1335,-1
1336,-1
1337,-1
1338,107
1339,-1
1340,-1
1341,16
1342,-1
1343,44
1344,-1
1345,-1
1346,-1
1347,-1
1348,-1
1349,-1
1350,30
1351,53
1352,-1
1353,31
1354,-1
1355,-1
1356,-1
1357,-1
1358,-1
1359,-1
1360,-1
1361,-1
1362,-1
1363,-1
1364,-1
1365,36
1366,25
1367,-1
1368,-1
1369,-1
1370,38
1371,-1
1372,56
1373,-1
1374,94
1375,-1
1376,24
1377,8
1378,-1
1379,-1
1380,-1
1381,-1
1382,3
1383,-1
1384,-1
1385,-1
1386,-1
1387,-1
1388,20
1389,-1
1390,-1
1391,-1
1392,-1
1393,-1
1394,-1
1395,-1
1396,37
1397,-1
1398,66
1399,-1
1400,-1
1401,-1
1402,-1
1403,-1
1404,82
1405,-1
1406,90
1407,-1
1408,65
1409,-1
1410,-1
1411,-1
1412,19
1413,75
1414,-1
1415,-1
1416,-1
1417,1
1418,37
1419,-1
1420,57
1421,-1
1422,-1
1423,-1
1424,-1
1425,37
1426,29
1427,35
1428,-1
1429,-1
1430,4
1431,34
1432,4
1433,85
1434,-1
1435,14
1436,81
1437,-1
1438,-1
1439,22
1440,100
1441,-1
1442,-1
1443,-1
1444,-1
1445,-1
1446,18
1447,86
1448,-1
1449,53
1450,-1
1451,-1
1452,56
1453,-1
1454,81
1455,-1
1456,-1
1457,-1
1458,-1
1459,-1
1460,-1
1461,-1
1462,107
1463,-1
1464,43
1465,87
1466,92
1467,18
1468,-1
1469,-1
1470,-1
1471,-1
1472,-1
1473,-1
1474,36
1475,-1
1476,107
1477,79
1478,-1
1479,-1
1480,107
1481,107
1482,-1
1483,20
1484,-1
1485,-1
1486,-1
1487,27
1488,-1
1489,37
1490,63
1491,20
1492,64
1493,35
1494,-1
1495,59
1496,76
1497,-1
1498,-1
1499,-1
1500,59
1501,-1
1502,-1
1503,-1
1504,-1
1505,-1
1506,-1
1507,-1
1508,-1
1509,73
1510,7
1511,18
1512,16
1513,-1
1514,-1
1515,-1
1516,-1
1517,-1
1518,37
1519,-1
1520,11
1521,85
1522,-1
1523,-1
1524,37
1525,-1
1526,-1
1527,-1
1528,20
1529,66
1530,73
1531,-1
1532,27
1533,-1
1534,-1
1535,18
1536,56
1537,-1
1538,37
1539,-1
1540,37
1541,35
1542,65
1543,-1
1544,-1
1545,-1
1546,-1
1547,22
1548,-1
1549,-1
1550,64
1551,-1
1552,103
1553,16
1554,64
1555,-1
1556,-1
1557,-1
1558,-1
1559,-1
1560,63
1561,-1
1562,-1
1563,-1
1564,-1
1565,19
1566,-1
1567,-1
1568,-1
1569,-1
1570,24
1571,-1
1572,-1
1573,59
1574,-1
1575,-1
1576,-1
1577,-1
1578,-1
1579,-1
1580,107
1581,58
1582,37
1583,1
1584,-1
1585,-1
1586,-1
1587,18
1588,50
1589,85
1590,-1
1591,-1
1592,-1
1593,-1
1594,89
1595,-1
1596,-1
1597,31
1598,-1
1599,-1
1600,-1
1601,-1
1602,-1
1603,-1
1604,53
1605,97
1606,-1
1607,-1
1608,-1
1609,-1
1610,-1
1611,-1
1612,53
1613,-1
1614,7
1615,-1
1616,79
1617,81
1618,-1
1619,6
1620,-1
1621,99
1622,-1
1623,-1
1624,68
1625,20
1626,34
1627,-1
1628,3
1629,-1
1630,-1
1631,5
1632,-1
1633,37
1634,-1
1635,-1
1636,-1
1637,2
1638,82
1639,-1
1640,38
1641,-1
1642,-1
1643,104
1644,-1
1645,58
1646,-1
1647,-1
1648,36
1649,-1
1650,-1
1651,24
1652,-1
1653,-1
1654,-1
1655,-1
1656,83
1657,9
1658,-1
1659,-1
1660,49
1661,57
1662,-1
1663,-1
1664,-1
1665,-1
1666,-1
1667,31
1668,50
1669,36
1670,-1
1671,36
1672,-1
1673,-1
1674,-1
1675,33
1676,-1
1677,-1
1678,-1
1679,-1
1680,-1
1681,-1
1682,-1
1683,-1
1684,-1
1685,-1
1686,-1
1687,-1
1688,-1
1689,-1
1690,50
1691,85
1692,-1
1693,6
1694,-1
1695,-1
1696,49
1697,27
1698,-1
1699,-1
1700,-1
1701,37
1702,-1
1703,-1
1704,58
1705,-1
1706,-1
1707,-1
1708,-1
1709,74
1710,-1
1711,39
1712,6
1713,-1
1714,46
1715,64
1716,-1
1717,32
1718,72
1719,-1
1720,-1
1721,57
1722,-1
1723,-1
1724,-1
1725,-1
1726,-1
1727,100
1728,-1
1729,-1
1730,90
1731,55
1732,107
1733,-1
1734,-1
1735,-1
1736,-1
1737,61
1738,70
1739,-1
1740,-1
1741,-1
1742,-1
1743,2
1744,-1
1745,-1
1746,-1
1747,-1
1748,-1
1749,-1
1750,-1
1751,-1
1752,-1
1753,-1
1754,-1
1755,-1
1756,99
1757,8
1758,-1
1759,-1
1760,-1
1761,79
1762,37
1763,22
1764,-1
1765,58
1766,39
1767,-1
1768,90
1769,-1
1770,18
1771,-1
1772,103
1773,33
1774,-1
1775,105
1776,-1
1777,-1
1778,-1
1779,-1
1780,101
1781,-1
1782,77
1783,96
1784,-1
1785,37
1786,88
1787,-1
1788,-1
1789,36
1790,9
1791,-1
1792,87
1793,-1
1794,-1
1795,-1
1796,-1
1797,101
1798,-1
1799,-1
1800,-1
1801,-1
1802,53
1803,-1
1804,-1
1805,-1
1806,-1
1807,22
1808,-1
1809,2
1810,-1
1811,15
1812,-1
1813,-1
1814,-1
1815,-1
1816,15
1817,-1
1818,-1
1819,-1
1820,69
1821,-1
1822,-1
1823,30
1824,-1
1825,56
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,89
1832,-1
1833,-1
1834,-1
1835,97
1836,-1
1837,-1
1838,56
1839,-1
1840,-1
1841,-1
1842,-1
1843,-1
1844,-1
1845,35
1846,64
1847,104
1848,37
1849,-1
1850,-1
1851,86
1852,-1
1853,-1
1854,-1
1855,-1
1856,-1
1857,-1
1858,76
1859,43
1860,39
1861,37
1862,-1
1863,-1
1864,-1
1865,-1
1866,-1
1867,-1
1868,-1
