,0
0,0
1,7938
2,2220
3,7713
4,5312
5,1570
6,9297
7,7589
8,984
9,2363
10,2935
11,4304
12,8693
13,2418
14,3192
15,-1
16,51
17,2935
18,6410
19,408
20,7099
21,8363
22,7693
23,2271
24,4380
25,9297
26,8281
27,2935
28,4876
29,4111
30,8418
31,620
32,9090
33,690
34,2596
35,936
36,890
37,4244
38,-1
39,7359
40,8442
41,1939
42,2644
43,939
44,2190
45,5682
46,417
47,2935
48,417
49,7359
50,3441
51,3495
52,7291
53,6926
54,2238
55,4714
56,4749
57,9754
58,3720
59,2428
60,7012
61,2552
62,7250
63,1150
64,8458
65,2360
66,3278
67,3280
68,714
69,2596
70,3991
71,5084
72,8818
73,8705
74,4809
75,2584
76,4571
77,9914
78,9968
79,2935
80,7250
81,4909
82,5688
83,2565
84,4186
85,2935
86,10063
87,2551
88,9489
89,1116
90,3244
91,5414
92,9723
93,1063
94,2201
95,4046
96,4282
97,7598
98,1345
99,7767
100,2153
101,6503
102,9029
103,8643
104,3233
105,1491
106,3304
107,8761
108,6182
109,6182
110,5407
111,1928
112,7291
113,317
114,833
115,8942
116,2271
117,5914
118,8885
119,9697
120,8643
121,7688
122,8016
123,6482
124,2856
125,6991
126,4161
127,894
128,2315
129,4285
130,422
131,7195
132,1790
133,-1
134,2882
135,998
136,833
137,635
138,1539
139,4406
140,9113
141,7693
142,7359
143,-1
144,2158
145,4269
146,2596
147,2763
148,3096
149,2939
150,7237
151,8618
152,2876
153,8907
154,3638
155,2177
156,9237
157,7425
158,5940
159,6933
160,9297
161,1522
162,7488
163,1886
164,-1
165,1319
166,3989
167,2982
168,8576
169,4206
170,2520
171,6684
172,2242
173,2935
174,7804
175,9082
176,2345
177,4304
178,-1
179,833
180,1089
181,7585
182,417
183,3095
184,4932
185,7359
186,6826
187,5156
188,2989
189,5685
190,394
191,3168
192,2583
193,2087
194,4675
195,5744
196,730
197,8147
198,6785
199,6754
200,6734
201,1593
202,81
203,7457
204,1199
205,9769
206,8567
207,4145
208,2982
209,5065
210,4295
211,4282
212,868
213,435
214,6559
215,378
216,6187
217,9974
218,8482
219,3991
220,8890
221,4206
222,2390
223,9318
224,9969
225,3320
226,-1
227,5230
228,7925
229,450
230,983
231,7119
232,267
233,7697
234,2768
235,7693
236,3489
237,9297
238,3492
239,9443
240,5731
241,9443
242,7315
243,3906
244,7648
245,3310
246,2458
247,7440
248,7795
249,2935
250,8756
251,2935
252,2759
253,29
254,6490
255,2621
256,7795
257,5682
258,5281
259,7570
260,8303
261,7933
262,10079
263,-1
264,3409
265,1095
266,1967
267,4244
268,8890
269,6491
270,3991
271,7503
272,2164
273,5916
274,2637
275,9036
276,-1
277,2982
278,6121
279,4061
280,1648
281,2935
282,7250
283,4310
284,4121
285,7387
286,1349
287,4541
288,2870
289,9297
290,4652
291,8321
292,7982
293,1926
294,5952
295,3575
296,9297
297,522
298,8832
299,2753
300,3526
301,2959
302,2522
303,2365
304,7291
305,3766
306,6663
307,2158
308,3756
309,394
310,2290
311,3421
312,334
313,4659
314,6733
315,8263
316,417
317,5288
318,5693
319,2982
320,3773
321,8703
322,243
323,9570
324,6489
325,7533
326,9280
327,7115
328,8147
329,8017
330,833
331,2989
332,2988
333,2180
334,2362
335,4737
336,2583
337,2045
338,2878
339,7667
340,4931
341,430
342,441
343,5682
344,1063
345,6015
346,4337
347,7582
348,4955
349,327
350,6760
351,9599
352,9982
353,921
354,9982
355,8691
356,9910
357,-1
358,2584
359,9251
360,6927
361,1497
362,5227
363,2935
364,6389
365,4541
366,2935
367,29
368,2982
369,8739
370,4525
371,5695
372,8707
373,2768
374,375
375,1842
376,3548
377,2137
378,3328
379,7318
380,4800
381,7986
382,9272
383,3540
384,4316
385,2870
386,7418
387,833
388,50
389,4932
390,642
391,2362
392,9877
393,3142
394,3142
395,9491
396,7745
397,2379
398,3082
399,3393
400,9655
401,8942
402,2583
403,9376
404,4158
405,448
406,9969
407,5682
408,345
409,2139
410,2360
411,3341
412,4932
413,2753
414,-1
415,8643
416,371
417,1824
418,9661
419,7003
420,6991
421,3567
422,7449
423,642
424,2985
425,6121
426,2935
427,9674
428,1734
429,8852
430,2935
431,6406
432,9652
433,5557
434,2496
435,6015
436,2888
437,7978
438,9652
439,-1
440,8833
441,8182
442,8817
443,8817
444,4798
445,743
446,6389
447,6389
448,8184
449,8070
450,9433
451,9171
452,7441
453,166
454,9863
455,-1
456,8597
457,4269
458,3400
459,2935
460,7693
461,5315
462,5837
463,771
464,1389
465,3596
466,6220
467,2584
468,6734
469,2360
470,1048
471,2139
472,8982
473,281
474,8824
475,6015
476,5694
477,8643
478,4288
479,6074
480,-1
481,6907
482,7250
483,7237
484,2937
485,2438
486,8519
487,2416
488,3020
489,9503
490,2876
491,2157
492,2989
493,9095
494,2360
495,8480
496,8147
497,9043
498,5254
499,3218
500,6687
501,2418
502,5477
503,5657
504,4541
505,1231
506,5105
507,4483
508,5521
509,8875
510,8108
511,2935
512,653
513,3224
514,3616
515,5916
516,1805
517,7441
518,2727
519,4742
520,9104
521,8184
522,2160
523,8166
524,9183
525,6291
526,7963
527,7025
528,7637
529,8852
530,6096
531,3716
532,5320
533,8313
534,1682
535,3596
536,6074
537,3991
538,7442
539,6986
540,7359
541,3952
542,5682
543,1178
544,3397
545,2935
546,2935
547,2630
548,2339
549,6734
550,9798
551,2367
552,9314
553,9253
554,3596
555,7877
556,2864
557,9297
558,4737
559,9755
560,6252
561,9120
562,2588
563,7804
564,3492
565,373
566,2239
567,4414
568,8430
569,8250
570,8147
571,6491
572,9969
573,-1
574,2293
575,2275
576,353
577,2337
578,8817
579,-1
580,2810
581,6914
582,8063
583,2175
584,7779
585,8542
586,4309
587,6910
588,8127
589,1958
590,9883
591,8696
592,9831
593,7779
594,2421
595,4783
596,1187
597,8053
598,39
599,8890
600,7983
601,3819
602,1523
603,5542
604,8071
605,3536
606,9210
607,-1
608,996
609,9969
610,4351
611,3136
612,9297
613,6500
614,8777
615,4498
616,7918
617,8643
618,9297
619,3539
620,2184
621,3050
622,7611
623,2635
624,7694
625,4324
626,8998
627,6991
628,2187
629,8777
630,642
631,2634
632,4942
633,3930
634,2989
635,7164
636,4499
637,334
638,7359
639,1491
640,5161
641,687
642,4282
643,7359
644,2935
645,1048
646,2450
647,6826
648,4520
649,5221
650,9323
651,2226
652,7359
653,2661
654,4269
655,4166
656,9443
657,1758
658,8250
659,2909
660,4981
661,7368
662,9120
663,5939
664,6029
665,4311
666,4170
667,9155
668,2665
669,9722
670,4268
671,5682
672,3411
673,1970
674,2935
675,3742
676,6760
677,8542
678,3978
679,3280
680,8102
681,6918
682,4168
683,9969
684,7250
685,8413
686,9039
687,6593
688,178
689,2074
690,6002
691,8106
692,5502
693,8879
694,5682
695,4513
696,4674
697,4255
698,4266
699,4527
700,8281
701,320
702,5221
703,-1
704,5926
705,6
706,1346
707,3351
708,6661
709,2935
710,9166
711,9685
712,4282
713,2239
714,2218
715,638
716,5703
717,3708
718,408
719,50
720,9544
721,2184
722,7616
723,4980
724,2373
725,4513
726,9029
727,9698
728,5650
729,2251
730,9120
731,8606
732,8512
733,9916
734,2935
735,-1
736,745
737,2161
738,8875
739,3488
740,1059
741,186
742,3991
743,264
744,755
745,2888
746,8080
747,6406
748,2190
749,2935
750,7235
751,-1
752,2749
753,3892
754,7260
755,8228
756,5237
757,7642
758,7858
759,4539
760,5148
761,7258
762,2563
763,4051
764,4024
765,1634
766,4525
767,6121
768,8319
769,5979
770,2283
771,4303
772,6491
773,1916
774,8875
775,2630
776,6257
777,2305
778,442
779,8606
780,8538
781,3631
782,2262
783,4828
784,8353
785,2322
786,4309
787,4460
788,973
789,1172
790,2305
791,1368
792,4304
793,5103
794,5682
795,6225
796,2935
797,1150
798,8748
799,3597
800,4203
801,4665
802,9211
803,3235
804,942
805,8147
806,6777
807,1511
808,417
809,7250
810,6978
811,9039
812,2789
813,3791
814,1777
815,7061
816,4268
817,7183
818,4880
819,4669
820,1088
821,5838
822,-1
823,2935
824,5221
825,518
826,5851
827,3593
828,9053
829,9092
830,3377
831,6637
832,8147
833,10028
834,1790
835,6414
836,8832
837,3590
838,6543
839,4517
840,7707
841,343
842,3710
843,5221
844,3112
845,2391
846,7291
847,9982
848,2884
849,1313
850,5489
851,44
852,2546
853,6828
854,1603
855,7492
856,2387
857,6543
858,2870
859,2311
860,7096
861,3877
862,4932
863,3949
864,9443
865,8042
866,592
867,8498
868,599
869,577
870,6015
871,6971
872,6743
873,4406
874,6154
875,7496
876,2355
877,4302
878,1611
879,4163
880,4741
881,1286
882,1926
883,7237
884,4408
885,226
886,4242
887,2132
888,1836
889,38
890,7115
891,2612
892,2140
893,8498
894,5975
895,3230
896,2365
897,-1
898,3853
899,5584
900,1499
901,8458
902,2239
903,7115
904,8852
905,6008
906,9069
907,2989
908,8299
909,6309
910,5688
911,1102
912,1102
913,1097
914,7892
915,4628
916,8643
917,2543
918,14
919,4541
920,6552
921,6543
922,3773
923,1491
924,4790
925,321
926,5453
927,9664
928,8471
929,359
930,3638
931,5388
932,2320
933,2640
934,-1
935,-1
936,7689
937,9029
938,1650
939,5454
940,4959
941,3632
942,6491
943,4483
944,1991
945,3808
946,6272
947,5109
948,2159
949,3251
950,9297
951,6733
952,3083
953,9297
954,6458
955,6233
956,5180
957,2124
958,2597
959,620
960,4172
961,7312
962,10017
963,1063
964,4203
965,4282
966,1616
967,2429
968,4086
969,2935
970,6410
971,8518
972,2935
973,518
974,7571
975,8853
976,4980
977,438
978,4441
979,5161
980,2882
981,9044
982,441
983,2164
984,9293
985,4509
986,4342
987,417
988,6560
989,3320
990,9790
991,7779
992,3449
993,-1
994,6460
995,2989
996,6414
997,8875
998,2194
999,2546
1000,457
1001,8832
1002,7663
1003,401
1004,1857
1005,3659
1006,3002
1007,9297
1008,59
1009,8699
1010,2201
1011,3596
1012,6033
1013,5829
1014,8476
1015,6074
1016,7368
1017,4541
1018,2445
1019,9297
1020,5332
1021,665
1022,8250
1023,2521
1024,923
1025,6057
1026,5065
1027,6085
1028,5
1029,2879
1030,2935
1031,-1
1032,2870
1033,4181
1034,2636
1035,2876
1036,2418
1037,6121
1038,983
1039,-1
1040,8737
1041,3823
1042,2935
1043,912
1044,7170
1045,7813
1046,606
1047,3240
1048,2953
1049,2935
1050,2876
1051,9856
1052,7779
1053,4211
1054,4717
1055,3195
1056,1286
1057,4266
1058,3998
1059,6412
1060,7250
1061,568
1062,8700
1063,7261
1064,6568
1065,3441
1066,3351
1067,317
1068,269
1069,841
1070,582
1071,8944
1072,4575
1073,5408
1074,6745
1075,6500
1076,696
1077,7329
1078,8881
1079,2935
1080,5221
1081,4830
1082,2555
1083,1188
1084,6885
1085,6109
1086,3693
1087,1048
1088,6477
1089,2168
1090,2142
1091,6600
1092,9969
1093,996
1094,7745
1095,7825
1096,3807
1097,788
1098,4932
1099,6733
1100,7794
1101,318
1102,2935
1103,2768
1104,4737
1105,3359
1106,2518
1107,9682
1108,3601
1109,-1
1110,2250
1111,1491
1112,6371
1113,321
1114,7424
1115,5704
1116,6976
1117,2988
1118,5152
1119,2630
1120,4356
1121,522
1122,2989
1123,8413
1124,5682
1125,444
1126,5119
1127,769
1128,1827
1129,2760
1130,4545
1131,3002
1132,2588
1133,58
1134,533
1135,3935
1136,3512
1137,2213
1138,8804
1139,1605
1140,6500
1141,178
1142,111
1143,653
1144,5935
1145,7390
1146,8251
1147,1534
1148,7291
1149,3441
1150,5450
1151,4450
1152,8321
1153,8217
1154,5695
1155,3616
1156,5987
1157,3808
1158,4130
1159,5688
1160,9467
1161,5000
1162,8832
1163,2935
1164,357
1165,4351
1166,5295
1167,3112
1168,8518
1169,722
1170,3318
1171,8737
1172,745
1173,4980
1174,3060
1175,3845
1176,6926
1177,6146
1178,3149
1179,8363
1180,616
1181,4347
1182,7359
1183,6035
1184,8823
1185,5221
1186,2418
1187,6378
1188,1949
1189,5384
1190,6919
1191,9164
1192,7653
1193,7858
1194,5408
1195,8040
1196,2851
1197,128
1198,3096
1199,1998
1200,478
1201,9092
1202,2168
1203,223
1204,6991
1205,8925
1206,6824
1207,7543
1208,4229
1209,5028
1210,4527
1211,6495
1212,2997
1213,1121
1214,9297
1215,4759
1216,7250
1217,8717
1218,6551
1219,6015
1220,8256
1221,2139
1222,10086
1223,3058
1224,7693
1225,3412
1226,285
1227,3385
1228,2889
1229,8852
1230,3075
1231,4527
1232,1948
1233,2129
1234,745
1235,6051
1236,3549
1237,5780
1238,378
1239,5221
1240,9183
1241,9120
1242,-1
1243,7561
1244,5495
1245,756
1246,7551
1247,2728
1248,6425
1249,7937
1250,7003
1251,2200
1252,9183
1253,1334
1254,6121
1255,6898
1256,7082
1257,1121
1258,9764
1259,9376
1260,4282
1261,1830
1262,62
1263,8147
1264,7964
1265,8184
1266,4476
1267,2184
1268,1350
1269,2386
1270,2637
1271,74
1272,414
1273,8852
1274,4681
1275,2158
1276,438
1277,2935
1278,1012
1279,7838
1280,8385
1281,142
1282,810
1283,438
1284,7237
1285,3616
1286,2387
1287,7284
1288,9380
1289,4194
1290,9413
1291,1054
1292,7250
1293,8835
1294,9206
1295,8184
1296,9925
1297,2460
1298,10000
1299,2523
1300,2887
1301,1764
1302,2357
1303,7957
1304,5704
1305,81
1306,651
1307,3693
1308,909
1309,3920
1310,3236
1311,8875
1312,745
1313,5596
1314,555
1315,9246
1316,-1
1317,9480
1318,6369
1319,2459
1320,5502
1321,2157
1322,9346
1323,2354
1324,1491
1325,-1
1326,6326
